article_nr,news_snippets
AP880224-0195,"The Bechtel Group Inc. offered in 1985 to sell oil to Israel at a discount of at least $650 million for 10 years if it promised not to bomb a proposed Iraqi pipeline, a Foreign Ministry official said Wednesday. But then-Prime Minister Shimon Peres said the offer from Bruce Rappaport, a partner in the San Francisco-based construction and engineering company, was ``unimportant,'' the senior official told The Associated Press. Peres, now foreign minister, never discussed the offer with other government ministers, said the official, who spoke on condition of anonymity. The comments marked the first time Israel has acknowledged any offer was made for assurances not to bomb the planned $1 billion pipeline, which was to have run near Israel's border with Jordan. The pipeline was never built. In San Francisco, Tom Flynn, vice president for public relations for the Bechtel Group, said the company did not make any offer to Peres but that Rappaport, a Swiss financier, made it without Bechtel's knowledge or consent. Another Bechtel spokesman, Al Donner, said Bechtel ``at no point'' in development of the pipeline project had anything to do with the handling of the oil. He said proposals submitted by the company ``did not include any specific arrangements for the handling of the oil or for the disposal of the oil once it reached the terminal.'' Asked about Bechtel's disclaimers after they were made in San Francisco, the Israeli Foreign Ministry official said Peres believed Rappaport made the offer for the company. ``Rappaport came to Peres as a representative of Bechtel and said he was speaking on behalf of Bechtel,'' the official said. ``If he was not, he misrepresented himself.'' The Jerusalem Post on Wednesday quoted sources close to Peres as saying that according to Rappaport, Bechtel had said the oil sales would have to be conducted through a third party to keep the sales secret from Iraq and Jordan. The Foreign Ministry official said Peres did not take the offer seriously. ``This is a man who sees 10 people every day,'' he said. ``Thirty percent of them come with crazy ideas. He just says, `Yes, yes. We'll think about it.' That's how things work in Israel.'' The offer appeared to be the one mentioned in a September 1985 memo to Attorney General Edwin Meese III. The memo referred to an arrangement between Peres and Rappaport ``to the effect that Israel will receive somewhere between $65 million and $70 million a year for 10 years.'' The memo from Meese friend E. Robert Wallach, Rappaport's attorney, also states, ``What was also indicated to me, and which would be denied everywhere, is that a portion of those funds will go directly to Labor,'' a reference to the political party Peres leads. The Wallach memo has become the focus of an investigation into whether Meese knew of a possibly improper payment. Peres has denied any wrongdoing and has denounced the memo as ``complete nonsense.'' The Israeli official said Rappaport, a native of Israel and a close friend of Peres, relayed the offer to Peres earlier in September. ``Peres thought the offer was unimportant. For him, the most important thing was to have an Iraqi oil port near Israel's border,'' the official said. ``The thinking was that this would put Iraq in a position where it would not be able to wage war with Israel, out of concern for its pipeline.'' A person answering the telephone at Rappaport's Swiss residence said he was out of town and could not be reached for comment."
AP881017-0144,"A gunman took a 74-year-old woman hostage after he was foiled in an attempt to steal $1 million in jewelry belonging to the late Liberace, but police shot and killed the man outside the entertainer's museum. ``I just tried to stay cool,'' said hostage Margaret Bloomberg, who sat down to give police a clear shot at the man and escaped unharmed in Sunday evening's incident at the Liberace Museum. ``The man had a bag of tools, including a crowbar, and was going to smash into the jewelry case,'' said Dora Liberace, administrator of the museum and sister-in-law of the late entertainer. ``He wanted the jewelry and he came prepared to take it.'' Mrs. Bloomberg, who has worked at the museum 10 years, was closing the office when the man appeared, saying he wanted to deliver a plant, Mrs. Liberace said. The man produced a gun, forced his way inside and refused offers of money, Mrs. Bloomberg said. ``Margaret offered him the day's receipts, even offered him the money in her purse, but he wasn't interested,'' Mrs. Liberace said. ``He said `I don't want the cash. I want the jewelry.' He obviously had been in there before and checked out the place. He seemed to know where everything was.'' Mrs. Bloomberg was able to warn a cleaning woman, who slipped out a back door and called police. The gunman tied Mrs. Bloomberg's hands and feet, taped her mouth, then untied her, moved her to another part of the museum and tied her again. ``He was getting ready to pop the jewelry case when he heard a noise outside,'' Mrs. Bloomberg said. ``He went and saw the police. I told him I'd get him out the back door. When we tried that, police were there, too.'' The gunman walked out the front door with a gun pointed at the bound hostage. ``He told police he would shoot me if they didn't let him get to his car,'' she recalled. ``I just tried to stay cool.'' ``She just sat down on the sidewalk, pretending her legs had collapsed under her,'' Mrs. Liberace said. ``He tried to lift her in the car but couldn't. He leaned back for a minute and the police shot him.'' ``When I sat down I figured the police would pick him off, maybe,'' Mrs. Bloomberg said. Mrs. Bloomberg, somewhat shaken and her hands still bearing marks from the ropes, was back at work Monday. ``I thought I was better off working than staying at home and dwelling on it,'' she said. The gunman, identified as Hugh Perry, 47, of Las Vegas, had a lengthy arrest record dating back to the 1960s, said Metro Police Lt. Kyle Edwards. The museum is one of the city's top tourist attractions, featuring memorabilia of the entertainer who gained fame here and retained a home not far away. Mrs. Liberace said the museum has one of the most sophisticated security systems in the city but will now add guards. Liberace, who died in February 1987 of complications due to AIDS, founded the museum 10 years ago to fund the Liberace Foundation for the Performing Arts, which provides scholarships for music and art students at 27 colleges and universities across the United States."
AP881017-0219,"Today is Saturday, Oct. 29, the 303rd day of 1988. There are 63 days left in the year. A reminder: daylight-saving time ends tomorrow at 2 a.m. local time. Clocks ``fall back'' one hour. Today's highlight in history: In 1929, ``Black Tuesday'' descended upon the New York Stock Exchange. Prices collapsed amid panic selling, thousands of investors were wiped out, and America's Great Depression began. On this date: In 1618, Sir Walter Raleigh, the English courtier, military adventurer and poet, was executed in London. In 1682, Pennsylvania founder William Penn landed at what is now Chester, Pa. In 1901, President William McKinley's assassin, Leon Czolgosz, was electrocuted. In 1911, American newspaperman Joseph Pulitzer died in Charleston, S.C. In 1923, the Republic of Turkey was proclaimed. In 1940, Secretary of War Henry L. Stimson drew the first number _ 158 _ in the first peacetime military draft in U.S. history. In 1947, former first lady Frances Cleveland Preston died in Baltimore at age 83. In 1956, Israel launched an invasion of Egypt's Sinai Peninsula. In 1956, ``The Huntley-Brinkley Report'' premiered as NBC's nightly television newscast, replacing ``The Camel News Caravan.'' In 1964, thieves made off with the Star of India and several other priceless gems from the American Museum of Natural History in New York. The Star and most of the other gems were recovered the following year; three men were convicted of stealing them. In 1966, the National Organization for Women was founded. In 1986, Sheik Ahmed Zaki Yamani, Saudi Arabia's oil minister since 1962 and one of the best-known figures of the Organization of Petroleum Exporting Countries, was dismissed. Ten years ago: Responding to a rebuke from President Jimmy Carter, Israeli Prime Minister Menachem Begin reaffirmed his country's right to expand existing Jewish settlements in the occupied West Bank and Gaza Strip. Five years ago: The coffins of 16 U.S. servicemen who had been killed in the Beirut truck-bombing on Oct. 23 and the U.S.-led invasion of Grenada arrived at Dover Air Force Base in Delaware. One year ago: Following the confirmation defeat of Robert H. Bork to serve on the U.S. Supreme Court, President Reagan announced his choice of Douglas H. Ginsburg, a nomination that would run into trouble over revelations of Ginsburg's past marijuana use. Today's birthdays: Singer Melba Moore is 43. Actor Richard Dreyfuss is 41. Actress Kate Jackson is 40. Thought for today: ``What one has not experienced, one will never understand in print.'' _ Isadora Duncan, modern dance pioneer (1878-1927)."
AP900117-0022,"Cupid has a new message for lovers this Valentine's Day and volunteers are lining up to spread the word from Loveland. People around the world send their Valentines through the Loveland post office each year to get the special postmark and cachet verse. Ted Thompson, 85, has been coming up with verses since he and his wife, Mabel, started the remailing program in 1947. An estimated 300,000 people will get Thompson's latest Valentine's verse: ``It might just be a song bird, ``Or perhaps some sparkling dew, ``That brings fond recollections, ``And a timeless cupid too.'' Thompson said recently he's not sure where he got the inspiration. ``It takes the whole year for me to get something I'm satisfied with. It's a hard thing for me. Some people are born to write a verse for you, but that's far away from me.'' Since it stamped 300 pieces of mail its first year, more than 7 million Valentines have passed through the program. The mail is hand-stamped by about 50 senior-citizen volunteers. There's no charge for the extra touch, which begins Monday and continues through Feb. 14."
AP880405-0167,"The Reagan administration is weighing whether to invoke a law authorizing the seizure of tax payments made by U.S. businesses operating in Panama, national security adviser Colin Powell said today. Saying that economic sanctions applied so far ``have not yet created enough pressure'' to force the ouster of strongman Gen. Manuel Antonio Noriega, Powell said ``we are examining additional pressure that might be brought to bear.'' He briefed reporters not long after giving the vacationing President Reagan an update on the Panamanian problem. A senior administration official, disussing Panama on grounds he not be publicly identified, said the United States would encourage any move within the Panamanian Defense Forces to oust Noriega. ``He still is firmly in control, but not as in control as he was, perhaps, a month ago, and every effort we can take to foster that discontent in the PDF, I can assure you we are taking,'' he said. ``If the PDF, after examining the situation, think it would be useful to remove General Noriega, I think that would be a very sound decision for them to take,'' the official said. Powell acknowledged that some corporations operating in Panama have balked at having their tax payments placed in an escrow account because of a concern that it could hamper their operations. For this reason, he said, White House advisers and other administration officials are studying the implications of invoking the International Emergency Economic Powers Act _ which would authorize the government to seize these payments. ``We have to be cautious before you invoke ... because it is a very powerful tool, and the staff back in Washington is examining the pros and cons'' of invoking the act, Powell said. ``And if it is a sensible thing to do, to continue to apply pressure on General Noriega, we will provide that for the president for his consideration.'' Powell refused to discuss any military options being weighed, except he indicated there would be no immediate dispatch of troops beyond the 1,300 deployed to the Central American country early this week. Powell, an Army lieutenant general, said he believes there now is ``a reasonable degree of security'' for Americans living in Panama and the U.S. installations there. Meanwhile, the administration was taking a dim view of Jesse Jackson's contacts with Noriega, despite Jackson's diplomatic coups in the past during visits to Cuba and Syria. Following Jackson's disclosure that he had sent a letter to Noriega two weeks ago asking him to resign, State Department spokeswoman Phyllis Oakley said Monday that such communications could prolong Noriega's grip on power. ``The proliferation of channels is a tactic Noriega uses to buy time,'' Ms. Oakley said. ``We have available channels of communication with Noriega if and when they are needed. We think it would be best to continue to use these channels exclusively.'' White House spokesman Marlin Fitzwater, traveling with Reagan in California, also criticized the Democratic presidential candidate's involvement in Panama. ``We have a bipartisan coordinated plan for dealing with Noriega,'' he said. ``That's why it's important to Congress and the public, and we believe it's been working.'' Jackson has dealt successfully in the past with other U.S. adversaries. In 1984, he traveled to Cuba and persuaded President Fidel Castro to release 26 political prisoners. He later went to Syria and, during talks with President Hafez Assad, won freedom for an American military pilot detained there. His efforts earned him an enthusiastic White House welcome. Jackson said he has no plans to travel to Panama to try to help resolve the 6-week-old crisis in that country. About 1,300 Army soldiers and Marines were headed to Panama today, joining the 10,000 troops stationed at the U.S. Southern Command in Panama. The Pentagon said the soldiers are being sent to increase security for Americans and U.S. facilities in Panama. In a related development, a former Panamanian official told the Senate Foreign Relations Committee on Monday that Noriega probably has evidence of complicity by U.S. officials in Central American drug trafficking. Jose I. Blandon produced a document Noriega sent to the country's U.S. diplomatic offices in February saying he has proof that American officials knowingly established policies that supported people in the drug business. Blandon, a former intelligence official and consul general who defected last year, mentioned Panama, Guatemala and Costa Rica. Jackson says he agrees with the Reagan administration that Noriega should step down, but he has accused U.S. officials of overkill in trying to achieve that goal through economic sanctions that have contributed to economic paralysis in Panama. Jackson, appearing Monday in Milwaukee, renewed his call for Noriega to leave Panama and released a letter in which Noriega rejected ``any political and economic program that will be dictated from Washington, D.C.'' ``My duration as commander and chief of the defense forces is governed by the Panamanian constitution and law of the defense forces,'' Noriega's letter said. While releasing the letter, Jackson renewed his call for Noriega to go into exile. ``I remain convinced that it is in the best interests of the Panamanian people for General Noriega to leave,'' Jackson said. ``Today I reiterate my public moral appeal for him to depart.''"
AP880825-0239,"More than 120,000 skins of a protected species of alligator were smuggled into Japan during the past seven months using stolen or falsified export documents, a wildlife protection organization said Thursday. Traffic Japan, the wildlife trade monitoring group of the World Wide Fund for Nature, said the South American caiman skins were shipped by a complex route involving at least seven South American and Asian countries before they arrived in Japan. At least 46 tons of the skins, from more than 120,000 alligators, entered Japan in the first seven months of this year through Thailand alone, the group said. It said it believed the skins were part of a larger shipment that was loaded onto Asia-bound ships off the coast of Uruguay at the end of last year. The declared customs value of the skins was about 427 million yen (about $3.2 million), ``but retail value would be four to five times more,'' spokeswoman Cecila Song said. The skins are used in Japan mainly for belts and watchbands. Permits are required for the export of South American caiman skins under the regulations of the Convention on International Trade in Endangered Species (CITES), an international treaty regulating trade in protected plants and animals, Song said. Japanese officials allowed the shipments to enter the country without proper verification of the export documents, the group said in a statement. ``Traffic's 8-month investigation has revealed a serious lapse of CITES administration in Thailand and Japan, and has uncovered a long paper trail of illegal CITES documents and other ploys involving Thailand, Colombia, Chile, Venezuela and Singapore to mask the illegal origins of the poached skins,'' the statement said. It said Japan's Ministry of International Trade and Industry had responded to evidence of illegal caiman trade by instituting a new voluntary check system on all imports of the skins. ``But unless they come up with a system involving legal penalties, we don't think there will be any improvement, especially with the high profits involved,'' Song said. Ministry officials were not available Thursday night for comment."
AP880325-0232,"There will be no organized union boost behind a single candidate in Saturday's Democratic caucuses in Michigan, a state where union members can wield more clout than almost anywhere else. While national labor leaders are assuming Michael Dukakis will be the eventual nominee, they are prevented from endorsing him by what appears to be growing rank-and-file support for Jesse Jackson, who has gotten more union votes than any of the other candidates in primaries so far. Richard Gephardt also has considerable union support. None of the Democratic candidates appears to have won the hearts _ or votes _ of a majority of the state's 750,000 rank-and-file union workers, nearly half of them members of the United Auto Workers."
AP880908-0056,Here is a summary of developments in forest and brush fires in Western states:
AP881105-0097,"Jean-Pierre Stirbois, the No. 2 man in the extreme-right National Front after party leader Jean-Marie Le Pen, died Saturday in an automobile accident, police said. He was 43. Stirbois attended a political meeting Friday in the city of Dreux, about 60 miles west of Paris, and was traveling toward the capital when his car ran off the road and smashed into a tree at about 2:40 a.m, police said. Stirbois was secretary-general of the National Front and a member of the party leadership since 1981. He was born Jan. 30, 1945 in Paris, held degrees in law and marketing and headed his own printing business. Stirbois was active in several extreme-right political movements before joining the National Front in 1977. In 1982, he won 12.6 percent of the vote in local elections in the district of Eure-et-Loir, west of Paris _ the highest vote percentage in France for a right-wing candidate. A year and a half later, he won the election for deputy mayor of Dreux. Stirbois was elected a deputy in the National Assembly in 1986. He lost his seat in legislative elections last summer. The National Front, founded by Le Pen in 1972, is strongly opposed to France's highly centralized and bureaucratic government and is against personal taxes. It favors the death penalty, priority to French citizens for jobs, and stopping immigration. In the first round of this year's presidential elections, Le Pen won a surprising 14.4 percent of the vote, worrying many who feared the National Front could awaken racist sentiments."
AP880716-0112,"At least 15 people died and 25,000 residents of Surat town were evacuated after torrential rains flooded the west Indian town, United News of India reported Friday. UNI said the victims lived in slum localities which were the worst affected in the deluge Thursday night. It said 25,000 slum residents lost their homes in the floods and were moved to relief camps. Surat in Gujarat state is 560 miles southwest of New Delhi. At least 50 people have drowned or died in collapsed houses across India since the monsoon broke this month, newspapers reported. Worst affected are northeastern Assam state and eastern Bihar state."
