month,vehicle_type,number
2012-01,Cars,593555
2012-01,Rental Cars,13970
2012-01,Taxi,27059
2012-01,Buses,17037
2012-01,Goods & Other Vehicles,159854
2012-01,Motorcycles,146388
2012-02,Cars,594925
2012-02,Rental Cars,14033
2012-02,Taxi,27163
2012-02,Buses,17076
2012-02,Goods & Other Vehicles,160105
2012-02,Motorcycles,146397
2012-03,Cars,596098
2012-03,Rental Cars,14164
2012-03,Taxi,27266
2012-03,Buses,17093
2012-03,Goods & Other Vehicles,160223
2012-03,Motorcycles,146316
2012-04,Cars,597000
2012-04,Rental Cars,14250
2012-04,Taxi,27618
2012-04,Buses,17144
2012-04,Goods & Other Vehicles,160394
2012-04,Motorcycles,146024
2012-05,Cars,598018
2012-05,Rental Cars,14312
2012-05,Taxi,27733
2012-05,Buses,17154
2012-05,Goods & Other Vehicles,160441
2012-05,Motorcycles,145963
2012-06,Cars,599493
2012-06,Rental Cars,14349
2012-06,Taxi,27849
2012-06,Buses,17190
2012-06,Goods & Other Vehicles,160492
2012-06,Motorcycles,145819
2012-07,Cars,600598
2012-07,Rental Cars,14430
2012-07,Taxi,28101
2012-07,Buses,17217
2012-07,Goods & Other Vehicles,160580
2012-07,Motorcycles,145605
2012-08,Cars,601298
2012-08,Rental Cars,14540
2012-08,Taxi,28176
2012-08,Buses,17214
2012-08,Goods & Other Vehicles,160555
2012-08,Motorcycles,145388
2012-09,Cars,602481
2012-09,Rental Cars,14585
2012-09,Taxi,28364
2012-09,Buses,17238
2012-09,Goods & Other Vehicles,160551
2012-09,Motorcycles,144923
2012-10,Cars,603460
2012-10,Rental Cars,14664
2012-10,Taxi,28243
2012-10,Buses,17241
2012-10,Goods & Other Vehicles,160440
2012-10,Motorcycles,144588
2012-11,Cars,604311
2012-11,Rental Cars,14784
2012-11,Taxi,28187
2012-11,Buses,17223
2012-11,Goods & Other Vehicles,160423
2012-11,Motorcycles,144332
2012-12,Cars,605149
2012-12,Rental Cars,14862
2012-12,Taxi,28210
2012-12,Buses,17162
2012-12,Goods & Other Vehicles,160417
2012-12,Motorcycles,144110
2013-01,Cars,605947
2013-01,Rental Cars,14915
2013-01,Taxi,28297
2013-01,Buses,17182
2013-01,Goods & Other Vehicles,160278
2013-01,Motorcycles,143681
2013-02,Cars,605961
2013-02,Rental Cars,14990
2013-02,Taxi,28245
2013-02,Buses,17226
2013-02,Goods & Other Vehicles,160099
2013-02,Motorcycles,143596
2013-03,Cars,606026
2013-03,Rental Cars,15046
2013-03,Taxi,28075
2013-03,Buses,17244
2013-03,Goods & Other Vehicles,159913
2013-03,Motorcycles,143424
2013-04,Cars,605754
2013-04,Rental Cars,15164
2013-04,Taxi,27911
2013-04,Buses,17296
2013-04,Goods & Other Vehicles,159912
2013-04,Motorcycles,143134
2013-05,Cars,605882
2013-05,Rental Cars,15257
2013-05,Taxi,27719
2013-05,Buses,17314
2013-05,Goods & Other Vehicles,159993
2013-05,Motorcycles,143307
2013-06,Cars,606373
2013-06,Rental Cars,15392
2013-06,Taxi,27781
2013-06,Buses,17330
2013-06,Goods & Other Vehicles,159953
2013-06,Motorcycles,143307
2013-07,Cars,606492
2013-07,Rental Cars,15469
2013-07,Taxi,27707
2013-07,Buses,17321
2013-07,Goods & Other Vehicles,160035
2013-07,Motorcycles,143616
2013-08,Cars,606722
2013-08,Rental Cars,15706
2013-08,Taxi,27471
2013-08,Buses,17341
2013-08,Goods & Other Vehicles,160128
2013-08,Motorcycles,143821
2013-09,Cars,607191
2013-09,Rental Cars,15825
2013-09,Taxi,27475
2013-09,Buses,17354
2013-09,Goods & Other Vehicles,160192
2013-09,Motorcycles,144116
2013-10,Cars,607104
2013-10,Rental Cars,15996
2013-10,Taxi,27516
2013-10,Buses,17383
2013-10,Goods & Other Vehicles,160235
2013-10,Motorcycles,144442
2013-11,Cars,607079
2013-11,Rental Cars,16144
2013-11,Taxi,27492
2013-11,Buses,17387
2013-11,Goods & Other Vehicles,160109
2013-11,Motorcycles,144529
2013-12,Cars,607292
2013-12,Rental Cars,16396
2013-12,Taxi,27695
2013-12,Buses,17509
2013-12,Goods & Other Vehicles,160344
2013-12,Motorcycles,144934
2014-01,Cars,607225
2014-01,Rental Cars,16604
2014-01,Taxi,27779
2014-01,Buses,17500
2014-01,Goods & Other Vehicles,160178
2014-01,Motorcycles,145209
2014-02,Cars,606938
2014-02,Rental Cars,16726
2014-02,Taxi,27698
2014-02,Buses,17449
2014-02,Goods & Other Vehicles,160015
2014-02,Motorcycles,145269
2014-03,Cars,605982
2014-03,Rental Cars,17008
